Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1665469469,2022-10-11T06:24:29Z,AZU4361,"-20.457928,-54.668507",0,2,351
1665469489,2022-10-11T06:24:49Z,AZU4361,"-20.458134,-54.668472",0,2,357
1665469511,2022-10-11T06:25:11Z,AZU4361,"-20.458347,-54.668419",0,2,73
1665469802,2022-10-11T06:30:02Z,AZU4361,"-20.458336,-54.668194",0,4,84
1665469811,2022-10-11T06:30:11Z,AZU4361,"-20.458317,-54.667992",0,5,81
1665469820,2022-10-11T06:30:20Z,AZU4361,"-20.458282,-54.667747",0,5,81
1665469829,2022-10-11T06:30:29Z,AZU4361,"-20.458248,-54.667526",0,5,81
1665469838,2022-10-11T06:30:38Z,AZU4361,"-20.458277,-54.667309",0,5,98
1665469849,2022-10-11T06:30:49Z,AZU4361,"-20.458498,-54.667145",0,6,146
1665469861,2022-10-11T06:31:01Z,AZU4361,"-20.458832,-54.667023",0,7,157
1665469869,2022-10-11T06:31:09Z,AZU4361,"-20.459084,-54.666916",0,7,157
1665469876,2022-10-11T06:31:16Z,AZU4361,"-20.459301,-54.666817",0,8,157
1665469881,2022-10-11T06:31:21Z,AZU4361,"-20.459507,-54.666744",0,9,160
1665469887,2022-10-11T06:31:27Z,AZU4361,"-20.459743,-54.666645",0,9,160
1665469895,2022-10-11T06:31:35Z,AZU4361,"-20.460081,-54.666508",0,10,160
1665469900,2022-10-11T06:31:40Z,AZU4361,"-20.460348,-54.666409",0,11,160
1665469907,2022-10-11T06:31:47Z,AZU4361,"-20.460629,-54.666294",0,9,157
1665469913,2022-10-11T06:31:53Z,AZU4361,"-20.46085,-54.666172",0,10,151
1665469920,2022-10-11T06:32:00Z,AZU4361,"-20.461058,-54.666019",0,10,146
1665469923,2022-10-11T06:32:03Z,AZU4361,"-20.461269,-54.665848",0,10,140
1665469931,2022-10-11T06:32:11Z,AZU4361,"-20.461475,-54.66576",0,7,163
1665469939,2022-10-11T06:32:19Z,AZU4361,"-20.461676,-54.66592",0,7,216
1665469947,2022-10-11T06:32:27Z,AZU4361,"-20.46191,-54.666142",0,10,222
1665469951,2022-10-11T06:32:31Z,AZU4361,"-20.462152,-54.666397",0,20,222
1665469953,2022-10-11T06:32:33Z,AZU4361,"-20.462379,-54.666607",0,29,222
1665469955,2022-10-11T06:32:35Z,AZU4361,"-20.462711,-54.666931",0,39,222
1665469958,2022-10-11T06:32:38Z,AZU4361,"-20.463226,-54.667431",0,54,222
1665469960,2022-10-11T06:32:40Z,AZU4361,"-20.463585,-54.66777",0,59,222
1665469961,2022-10-11T06:32:41Z,AZU4361,"-20.463833,-54.668018",0,63,222
1665469962,2022-10-11T06:32:42Z,AZU4361,"-20.464222,-54.668396",0,72,222
1665469963,2022-10-11T06:32:43Z,AZU4361,"-20.46455,-54.668705",0,76,222
1665469964,2022-10-11T06:32:44Z,AZU4361,"-20.464954,-54.669098",0,82,222
1665469972,2022-10-11T06:32:52Z,AZU4361,"-20.467855,-54.671913",1825,116,222
1665469980,2022-10-11T06:33:00Z,AZU4361,"-20.471254,-54.675159",1800,141,222
1665469987,2022-10-11T06:33:07Z,AZU4361,"-20.475037,-54.678806",1800,162,222
1665469994,2022-10-11T06:33:14Z,AZU4361,"-20.479027,-54.682652",2075,162,222
1665470002,2022-10-11T06:33:22Z,AZU4361,"-20.483356,-54.686844",2375,159,222
1665470009,2022-10-11T06:33:29Z,AZU4361,"-20.487453,-54.690739",2525,168,222
1665470016,2022-10-11T06:33:36Z,AZU4361,"-20.491829,-54.694885",2675,177,221
1665470025,2022-10-11T06:33:45Z,AZU4361,"-20.497696,-54.700535",2850,189,222
1665470033,2022-10-11T06:33:53Z,AZU4361,"-20.50263,-54.705322",3050,198,222
1665470041,2022-10-11T06:34:01Z,AZU4361,"-20.508728,-54.711227",3250,211,222
1665470048,2022-10-11T06:34:08Z,AZU4361,"-20.513992,-54.716328",3425,220,222
1665470056,2022-10-11T06:34:16Z,AZU4361,"-20.520493,-54.721722",3575,234,215
1665470059,2022-10-11T06:34:19Z,AZU4361,"-20.523392,-54.72345",3650,239,211
1665470063,2022-10-11T06:34:23Z,AZU4361,"-20.527725,-54.725403",3725,247,203
1665470066,2022-10-11T06:34:26Z,AZU4361,"-20.531891,-54.726482",3825,253,194
1665470070,2022-10-11T06:34:30Z,AZU4361,"-20.535507,-54.726921",3900,257,187
1665470073,2022-10-11T06:34:33Z,AZU4361,"-20.539673,-54.726871",4000,262,180
1665470076,2022-10-11T06:34:36Z,AZU4361,"-20.543968,-54.726097",4075,265,173
1665470080,2022-10-11T06:34:40Z,AZU4361,"-20.548279,-54.724716",4175,270,163
1665470083,2022-10-11T06:34:43Z,AZU4361,"-20.551941,-54.722851",4275,273,156
1665470087,2022-10-11T06:34:47Z,AZU4361,"-20.556677,-54.719555",4425,282,144
1665470090,2022-10-11T06:34:50Z,AZU4361,"-20.559656,-54.716759",4550,283,140
1665470094,2022-10-11T06:34:54Z,AZU4361,"-20.562836,-54.712944",4675,283,132
1665470097,2022-10-11T06:34:57Z,AZU4361,"-20.565308,-54.709412",4825,285,125
1665470100,2022-10-11T06:35:00Z,AZU4361,"-20.567596,-54.705242",4975,286,120
1665470104,2022-10-11T06:35:04Z,AZU4361,"-20.569757,-54.70023",5125,289,113
1665470108,2022-10-11T06:35:08Z,AZU4361,"-20.57135,-54.694847",5300,290,108
1665470112,2022-10-11T06:35:12Z,AZU4361,"-20.572365,-54.688843",5525,291,99
1665470116,2022-10-11T06:35:16Z,AZU4361,"-20.572861,-54.683662",5725,290,96
1665470119,2022-10-11T06:35:19Z,AZU4361,"-20.57325,-54.678856",5875,290,94
1665470123,2022-10-11T06:35:23Z,AZU4361,"-20.573502,-54.674343",6025,292,94
1665470127,2022-10-11T06:35:27Z,AZU4361,"-20.573822,-54.66885",6225,293,93
